isbn,title,author,collab_score,content_score,final_score
9791167372864,구의 증명,최진영,1.019,0.724,0.931
9788954681155,홍학의 자리 (정해연 장편소설),정해연,0.848,0.726,0.812
9788936434120,소년이 온다 (한강 소설 l 2024년 노벨문학상 수상작가),한강,0.789,0.763,0.781
9788937461033,인간 실격,다자이 오사무,0.77,0.668,0.739
9788956609959,종의 기원 (정유정 장편소설),정유정,0.693,0.755,0.712
9788937460449,데미안,헤르만헤세,0.705,0.692,0.701
9788954682152,작별하지 않는다 (한강 소설ㅣ2024년 노벨문학상 수상작가 l 2023년 메디치 외국문학상 수상),한강,0.566,0.776,0.629
9791159930409,젊은 베르테르의 슬픔,괴테,0.566,0.706,0.608
9788937473166,해가 지는 곳으로 (최진영 장편소설),최진영,0.454,0.8,0.557
9791190174756,"칵테일, 러브, 좀비 (리커버)",조예은,0.463,0.723,0.541
